prompt_id,outlet,period,section,headline
p0328,rte,post,news,Gardaí 'seized nine phones' from celebrity's home
p0329,rte,post,news,What's at stake in Israel's elections?
p0330,rte,post,ireland,Man in court for assault on tourist in Dublin denied bail
p0331,rte,post,health,Government expands free contraception scheme
p0332,rte,post,ireland,ECJ rejects Govt's claim over asylum seeker obligations
p0333,rte,post,ireland,Irish husband of botulism victim remains hospitalised
p0334,rte,post,news,10 notable moments from Francis' pontificate so far
p0335,rte,post,middle-east,UN demand 'prompt' probe into strike near Beirut hospital
p0336,rte,post,ireland,Kieran Cuddihy named as new Liveline presenter
p0337,rte,post,news,NI climber Noel Hanna dies after scaling Himalayan peak
p0338,rte,post,ukraine,Belarus to hold Russian nuclear arms after 'pressure'
p0339,rte,post,newslens,Rare Roman coin featuring Brutus up for auction in Geneva
p0340,rte,post,world,Trump to Putin: what key challenges face Rutte at NATO?
p0341,rte,post,world,Europe's Euclid space telescope releases first images
p0342,rte,post,munster,Waterford e-scooter initiative amid safety concerns
p0343,rte,post,ireland,Man due in court in human trafficking investigation
p0344,rte,post,news,Podcast: Trump praises his peace deal for Gaza
p0345,rte,post,ireland,Govt taking 'wait and see' approach to energy protection
p0346,rte,post,ireland,Appeal for safety around water ahead over bank holiday
p0347,rte,post,ireland,Curlew conservation scheme makes breakthrough
p0348,rte,post,investigations-unit,FAI apologises to female former players who have spoken out
p0349,rte,post,politics,Minister to publish review of sex work legislation
p0350,rte,post,world,"Trump's America is 'self-serving', says Kamala Harris"
p0351,rte,post,newslens,Meatball made with mammoth DNA unveiled in Amsterdam
p0352,rte,post,ireland,Dublin protesters call for end to Gaza conflict
p0353,rte,post,world,61 migrants drown after shipwreck off Libya
p0354,rte,post,middle-east,Israeli defence minister threatens to annex parts of Gaza
p0355,rte,post,politics,Bacik: Student's budget plans in 'disarray' over fee hike
p0356,rte,post,newslens,Microplastics discovered in dolphin breath
p0357,rte,post,ulster,Donegal councillors back Creeslough public inquiry
p0358,rte,post,regional,Gardaí appeal for witnesses following death of man
p0359,rte,post,politics,Candidates jostle for position ahead of Euro Parl vote
p0360,rte,post,ireland,"28.6C reached at Shannon, breaking May temperature record"
p0361,rte,post,ireland,Tories' use of Bloody Sunday footage 'disgusting'
p0362,rte,post,world,30 dogs rescued from home in UK after owner found dead
p0363,rte,post,world,DNA pioneer James Watson dies aged 97
p0364,rte,post,politics,Half of homes in defective blocks scheme need more work
p0365,rte,post,2022-in-review,Cian's Kennels reunites sick children with their pets
p0366,rte,post,regional,Appeal to find winner of unclaimed €1m Lotto prize
p0367,rte,post,ireland,Major concern over pace of child homelessness
p0368,rte,post,us,"Two dead, 10 hospitalised after US steel plant explosions"
p0369,rte,post,newslens,Pompidou Centre in Paris to close for 5-year renovation
p0370,rte,post,politics,All Govt depts to accept cash under new strategy
p0371,rte,post,news,Thousands march in banned Budapest Pride parade
p0372,rte,post,regional,Man who died in Mayo collision was 'lovely guy'
p0373,rte,post,ukraine,"36 dead, Kyiv hospital hit in Russian strikes on Ukraine"
p0374,rte,post,regional,Public asked to avoid An Earagail during helicopter work
p0375,rte,pre,news,Nicaraguan police arrest two more opposition contenders
p0376,rte,pre,news,Three men in court in connection with Regency shooting
p0377,rte,pre,regional,Man uninjured after suspected petrol bomb attack
p0378,rte,pre,leinster,Appeal issued to trace man missing from Dundalk
p0379,rte,pre,us,"Ken Starr, who investigated Clinton, dies at 76"
p0380,rte,pre,us,Tourists prepare to return to US as travel ban lifted
p0381,rte,pre,coronavirus,"Covid-19: 7,333 cases, 410 patients in hospital"
p0382,rte,pre,regional,Renewed calls for a new pier on Great Blasket Island
p0383,rte,pre,world,Sunken Indonesian submarine found broken in three
p0384,rte,pre,ireland,80 driving testers to be hired to tackle backlog
p0385,rte,pre,news,Japanese ambassador appeals for end to nuclear weapons
p0386,rte,pre,munster,Man dies while climbing Kerry mountain
p0387,rte,pre,newslens,Paris aims to put the brakes on scooter proliferation
p0388,rte,pre,news,Eight die after private plane crashes in Italy
p0389,rte,pre,news,SMEs lose billions due to Covid-19 restrictions
p0390,rte,pre,brexit,DUP urged to join search for post-Brexit solutions
p0391,rte,pre,uk,MP accuses Stanley Johnson of inappropriate touching
p0392,rte,pre,news,Schoolboy enjoys new chapter reading Roald Dahl books
p0393,rte,pre,ireland,Hospitals welcome first babies of the New Year
p0394,rte,pre,ireland,President turns on Áras an Uachtaráin Christmas lights
p0395,rte,pre,coronavirus,ECDC: Virus mutation could hamper vaccine effectiveness
p0396,rte,pre,brexit,Seafood Sector Taskforce launched in wake of Brexit
p0397,rte,pre,us,Lockdown drills 'part of life' for Irish teacher in US
p0398,rte,pre,brexit,UK to ease immigration rules for care workers
p0399,rte,pre,coronavirus,NPHET: Indoor dining could have closed beyond September
p0400,rte,pre,news,"US threatens tariffs on EU cheese, pork and whiskey"
p0401,rte,pre,politics,Anderson confirmed as Sinn Féin's NI Europe candidate
p0402,rte,pre,world,Countries must be more ambitious on climate goals: UN
p0403,rte,pre,world,Sydney tightens lockdown amid 'stubborn' outbreak
p0404,rte,pre,world,China revokes press credentials of three WSJ reporters
p0405,rte,pre,world,"Iceland to end whale hunting from 2024, says minister"
p0406,rte,pre,regional,Shannon Airport Managing Director is to leave his role
p0407,rte,pre,leinster,"Motorcyclist, 20s, injured in Offaly collision"
p0408,rte,pre,health,Locum GP before Medical Council over care of patient
p0409,rte,pre,boost-my-business,Four business owners spreading some joy with their sweet treats
p0410,rte,pre,ulster,PSNI officer hospitalised after Tyrone assault
p0411,rte,pre,news,Sean Quinn pledges not to trespass on Fermanagh quarry
p0412,rte,pre,news,Dino-cart invention helps boy 'to be a child'
p0413,rte,pre,politics,FF and FG leaders keen to avoid post Covid-19 austerity
p0414,rte,pre,uk,UK court rules couple are legal parents of adult son
p0415,rte,pre,ireland,Houses at Celtic Tiger levels in some areas
p0416,rte,pre,world,"Hijacking ends in Arabian Sea, says UK agency"
p0417,rte,pre,ulster,Stormont collapse 'inevitable' if Protocol not resolved
p0418,rte,pre,coronavirus,14 virus deaths among people in disability services
p0419,rte,pre,ireland,AGSI alleges exclusion from pay deal negotiations
p0420,rte,pre,coronavirus,Who contacts patients with the test results?
p0421,rte,pre,dublin,Brighter nights ahead as Dublin lights up for Christmas
p0422,rte,pre,ireland,French decision is miscarriage of justice
p0423,rte,pre,coronavirus,Eurozone 'agrees in principle' to use bailout mechanism
p0424,rte,pre,coronavirus,Experimental virus drug fails in human trials
p0425,rte,pre,news,Hezbollah suspect found guilty of 2005 Hariri murder
p0426,rte,pre,courts,"Sister didn't want to report mother missing, court told"
p0427,rte,pre,newslens,Giant floating pumpkin relay race
p0428,rte,pre,uk,Over three million EU citizens apply to stay in UK
p0429,rte,pre,newslens,Indian gang ran fake police station for eight months
p0430,rte,pre,news,Govt to purchase extra 450mw of electricity next year
p0431,rte,pre,connacht,Fundraising bid after brothers' house damaged in fire
p0432,rte,pre,ireland,Gardener Dermot O'Neill dies aged 58
p0433,rte,pre,news,Birmingham bombing inquests start with minute's silence
p0434,rte,pre,connacht,Woman charged over fatal Galway hit-and-run
p0435,rte,pre,world,G20 leaders agree to step up Afghan humanitarian effort
p0436,rte,pre,newslens,Dead giveaway - typo reveals death cert a forgery
p0437,rte,pre,news,Renewable energy sources growing at faster rate
p0438,rte,pre,world,"One dead, 12 injured in US supermarket shooting"
p0439,rte,pre,politics,School meal scheme to continue during mid-term break
p0440,rte,pre,news,"53 more people in hospital with Covid, 1,380 new cases"
p0441,rte,pre,ireland,Large increase in fraud cases in year to June
p0442,rte,pre,ulster,Two arrested in Antrim as part of probe into UDA crime
p0443,rte,pre,ulster,Man charged following altercation at Fermanagh hotel
p0444,rte,pre,ulster,Sea swimmers take to the waters off Co Down
p0445,rte,pre,regional,Postmistress welcomes reports of €12k State subvention
p0446,rte,pre,health,Govt will not entertain talk of pausing hospital build
p0447,rte,pre,connacht,"Two held after cash, cocaine seized in Galway"
p0448,rte,pre,courts,Gang member pleads guilty to hiding €268k cash in attic
p0449,rte,pre,newslens,Bullet train driver abandoned controls for toilet dash
p0450,the_liberal,post,irish-news,Top Gun Harris tests Defence Forces new body armour worth €16.5 million
p0451,the_liberal,post,irish-news,"Irish neutrality should be put to a public vote, claims Sinn Féin"
p0452,the_liberal,post,irish-news,Gardai end the search for missing man after a body is found
p0453,the_liberal,post,irish-news,"Budget 2025: “He’s said to be nervous”, 33-yr-old Jack Chambers announces the budget for the upcoming year"
p0454,the_liberal,post,irish-news,Disaster for Martin and Harris as new poll suggests nosedive for Fianna Fail and Fine Gael
p0455,the_liberal,post,irish-news,"Large numbers of Roads Policing gardaí are completely ‘unproductive’, new report says"
p0456,the_liberal,post,irish-news,"Patients will continue to suffer unless bed capacity increases, says expert doctor"
p0457,the_liberal,post,irish-news,Uproar in Clare from Ukrainians who’ve been told they have to move on
p0458,the_liberal,post,irish-news,BREAKING: “The govt is in panic mode” – Cabinet to have special meeting on Sunday to discuss fuel protest crisis
p0459,the_liberal,post,irish-news,"Huge demand for Christmas food vouchers with thousands gone in hours, Capuchin Day Centre says"
p0460,the_liberal,post,irish-news,“Enoch won” – Enoch Burke has been released from Mountjoy Prison after over 400 days following court order without purging his contempt
p0461,the_liberal,post,irish-news,26-yr-old mother dies after attack by shark in Mexico while swimming with daughter
p0462,the_liberal,post,irish-news,2025 social welfare increases have kicked in with welfare recipients increasing their payments this week
p0463,the_liberal,post,irish-news,Fear mongering continues as Covid Eris variant symptoms as Ireland confirms dozens of cases with more isolation rules outlined
p0464,the_liberal,post,irish-news,"Over 1,200 driving tests have been cancelled due to insurance issues, says RSA"
p0465,the_liberal,post,irish-news,Angered judge throws out ‘fraudulent’ insurance claims from Co Clare women against Dublin taxi driver
p0466,the_liberal,post,irish-news,"Irish student avoids jailtime in €16,000 Snapchat scam but judge places harsh conditions"
p0467,the_liberal,post,world-news,Multiple drone strikes across the Russian capital cause widespread panic and spark mass evacuations
p0468,the_liberal,post,irish-news,Man sadly passes away in Cork following “medical incident”
p0469,the_liberal,post,world-news,Gatwick Airport earns dubious honor of second-worst European airport for delays
p0470,the_liberal,post,irish-news,"Pothole complaints surge around Ireland with 14,000 reports in Cork alone"
p0471,the_liberal,post,irish-news,Two has-beens? Mary Robinson and U2 are being awarded European Order of Merit
p0472,the_liberal,post,irish-news,Gardai storm Ryanair flight in Dublin after mid air ‘shirt ripping brawl’
p0473,the_liberal,post,irish-news,Govt slammed as still a huge number of registered tourist beds are being used to house migrants
p0474,the_liberal,post,irish-news,Calls for protests in Wexford after footage of mob violence amongst foreign men living in migrant plantation in the Courtown goes viral
p0475,the_liberal,post,irish-news,Incidents of unruly passengers on airplanes have more than tripled in the past year
p0476,the_liberal,post,irish-news,Irish Rail reportedly considering setting up vending machines on inter-city services
p0477,the_liberal,post,irish-news,Plummeting! Electric car sales had a massive slump again over the past month
p0478,the_liberal,post,irish-news,Please don’t do it! Green’s Roderic O’Gorman warns public against independents propping up coalition
p0479,the_liberal,post,life-culture,Why Floor Restoration Services in Dublin Are Essential for Homes and Businesses
p0480,the_liberal,post,irish-news,Russell Brand thanks his supporters after “distressing week”
p0481,the_liberal,post,irish-news,We know best: Govt is restricting short term letting in larger towns
p0482,the_liberal,post,irish-news,BREAKING: Met Eireann concerned as Ireland’s May record broken again with 30.5c
p0483,the_liberal,post,irish-news,Aer Lingus cancels a further 25 flights as pilots’ dispute continues
p0484,the_liberal,post,irish-news,Sicko Andrew Miller jailed for 20 years for abducting and sexually assaulting young girl on her way to school
p0485,the_liberal,post,irish-news,Gardai hold major search in wasteland in Dundalk near former family home of Kyran Durnin
p0486,the_liberal,post,irish-news,Cork Airport spokesperson advises people to be cautious when traveling to the facility due to adverse weather conditions
p0487,the_liberal,post,life-culture,Turkish Opposition Figure Accuses Turkish Defense Companies of Supporting the Sudanese Army
p0488,the_liberal,post,irish-news,‘Creepy’ migrant from India found guilty of groping woman on bus in Dublin
p0489,the_liberal,post,irish-news,Migrant who attacked female jogger exposed as ‘genderfluid’ sex offender with 27 aliases
p0490,the_liberal,post,irish-news,#RefugeesWelcome brigade protest in Dublin saying it’s the start of their campaign to buck anti-migrant trend
p0491,the_liberal,post,irish-news,Feral gang of youths terrorise quiet Irish townland as media maintains code of silence in face of such incidents
p0492,the_liberal,post,irish-news,"Tributes paid to woman, aged in her 70s, who died after getting into difficulty in sea"
p0493,the_liberal,post,irish-news,Toy story! Unfazed 3-yr-old Australian boy gets rescued after he climbed into toy claw machine
p0494,the_liberal,post,irish-news,BREAKING: Investigation underway after a number of vehicles set alight in pub carpark in Co Meath
p0495,the_liberal,post,irish-news,He’s a wonderful candidate – Martin says presidential candidate Jim Gavin can ‘bring people together’
p0496,the_liberal,post,irish-news,"RTÉ to outsource editorial research for state events at a cost of €180,000 to the Irish taxpayer"
p0497,the_liberal,post,world-news,No fewer than 36 people dead following train collision in Greece
p0498,the_liberal,post,irish-news,World leaders travel to Rome for Pope Benedict’s funeral this morning
p0499,the_liberal,post,irish-news,"Martin spent €2,700 Irish taxpayer money on gifts for President Donald Trump"
p0500,the_liberal,post,irish-news,Newbie Garda found in ditch after abandoning car on M1 motorway
p0501,the_liberal,post,irish-news,Met Eireann issues urgent new nationwide weather warning amidst deteriorating weather conditions
p0502,the_liberal,post,irish-news,"Overcrowding is now a major issue is Irish prisons, report finds"
p0503,the_liberal,post,irish-news,"“It’s racism” – Irish citizens earn nearly €90 more per week than non-Irish nationals, claims CSO"
p0504,the_liberal,post,irish-news,"‘No winners’ with tariffs or trade wars, says ‘Top Gun’"
p0505,the_liberal,post,irish-news,Leo Varadkar wants Irish unity manifesto pledge by all parties in next election
p0506,the_liberal,post,irish-news,“Israel shouldn’t be allowed participate”: Smoke canisters get set off in Malmö during Eurovision protests
p0507,the_liberal,post,irish-news,Novak Djokovic aims to become the greatest of them all today by winning a 23rd Grand Slam at the French Open in Paris
p0508,the_liberal,post,irish-news,"Outrage from Ukrainians as government withdraws taxpayer-funded accommodation for 16,000 Ukrainians in Ireland"
p0509,the_liberal,post,irish-news,“Ireland can take them all” – Sunak says he’s “not interested” in migrant deal with Ireland
p0510,the_liberal,post,opinion,Gone for good? Ireland’s youth exodus accelerates as record numbers emigrated in 2025 as homeownership remains a pipe dream
p0511,the_liberal,post,irish-news,“They’re petrified Conor would win” – Simon Harris demands all Fine Gael Councillors block Independent Presidential candidate nominations
p0512,the_liberal,post,irish-news,Five trainee gardaí dismissed over ‘Prank’ that saw another garda handcuffed and thrown into a cold shower
p0513,the_liberal,post,irish-news,Public not happy that Mohammad Al Shaker Al Tamimi is getting taxpayer-funded full psychological assessment
p0514,the_liberal,post,irish-news,Stop the clock on TikTok ban – US ban will go ahead tomorrow
p0515,the_liberal,post,irish-news,Enoch Burke’s mother and sister may face jail or a hefty fine for contempt of court
p0516,the_liberal,post,irish-news,"Toddler who got scalded by hot coffee on Ryanair flight wins close to €19,000 as court hears she sat in agony for more than three hours"
p0517,the_liberal,post,irish-news,"Anti plantation protests in East Wall, Sherriff Street and Five Lamps were a “great success” on Wednesday night #IrelandisFull"
p0518,the_liberal,post,life-culture,The Impact of Online Casinos on the Irish Economy: Analysis and Prospects
p0519,the_liberal,post,irish-news,He’ll never call a boy “they” – Fears grow that Enoch Burke will be in jail again for Christmas
p0520,the_liberal,post,irish-news,Today’s the day! Huge anti-migrant protest to take place in Ballsbridge today for #EastWall to “equal the score” with affluent communities
p0521,the_liberal,post,world-news,🔴BREAKING: An Irishman (30s) has been shot dead in Australia
p0522,the_liberal,post,irish-news,The funeral of little Matthew Healy will take place tomorrow in Waterford
p0523,the_liberal,post,irish-news,RTE crisis continues as accountants to go in this week
p0524,the_liberal,post,irish-news,Gardai seize firearm and thousands of euros worth of drugs during raid in Dublin
p0525,the_liberal,pre,irish-news,Supermacs boss says Irish beef farmers are not being paid enough
p0526,the_liberal,pre,world-news,Gunman surrenders to police after shooting five people dead at a Florida bank
p0527,the_liberal,pre,irish-news,"Coronavirus: Global number of infections reaches 2m, with over 120,000 deaths so far"
p0528,the_liberal,pre,irish-news,Two brave women spoke about their horrendous stalking experiences and what laws they want changed
p0529,the_liberal,pre,irish-news,Man (19) dead and woman (22) seriously ill after taking ecstasy on Friday night
p0530,the_liberal,pre,world-news,"Covid-19: UK reports just over 45,100 new coronavirus infections over the past 24h"
p0531,the_liberal,pre,irish-news,Garda checkpoints in force in Donegal as county moves to Level 3 restrictions
p0532,the_liberal,pre,irish-news,Instagram Rich List 2019 released showing stars who earn most money from each post on their account
p0533,the_liberal,pre,irish-news,Covid-19: Punters will be forced to buy tickets for nightclubs at least one hour prior to arriving at the door
p0534,the_liberal,pre,irish-news,"Holohan says that the next two weeks will determine on whether we can ease restrictions, says he’s increasingly concerned"
p0535,the_liberal,pre,irish-news,"Kildare, Offaly and Laois warned to be on alert following rise in Covid-19 cases"
p0536,the_liberal,pre,irish-news,1.4 million people will receive cash boost tomorrow with some receiving double social welfare payments
p0537,the_liberal,pre,irish-news,Government launch “foreign language” covid advice as there’s a low uptake in vaccines with foreign nationals
p0538,the_liberal,pre,irish-news,BREAKING: Coronavirus – President Donald Trump declares national emergency in the United States
p0539,the_liberal,pre,world-news,"Fashion retailer LK Bennett enters into administration, 500 UK jobs on the line"
p0540,the_liberal,pre,world-news,"Covid-19: Germany, France, and Italy have temporarily halted administration of the AstraZeneca vaccine due to increasing reports of blood clotting"
p0541,the_liberal,pre,irish-news,Status Orange warning for heavy rain in place for three counties until noon
p0542,the_liberal,pre,irish-news,?BREAKING: Not guilty – Kyle Rittenhouse cleared of all charges after he shot dead two men while defending himself during Black Lives Matter protests
p0543,the_liberal,pre,world-news,"Brexit Withdrawal Agreement breezes through Parliament, meaning Britain will likely leave the EU for good on January 31, 2020"
p0544,the_liberal,pre,irish-news,Gardai launch probe after the body of a fisherman is recovered from Killybegs Harbour in Co. Donegal
p0545,the_liberal,pre,irish-news,Malaysian authorities to release results of Nora Quoirin’s post mortem later today
p0546,the_liberal,pre,irish-news,"Job losses announced at the Stryker plant in Cork, about 40 people are to lose their jobs"
p0547,the_liberal,pre,irish-news,Dr Ronan Glynn says just 3% of Covid-19 cases are in the over 65s
p0548,the_liberal,pre,irish-news,Outgoing Taoiseach Leo Varadkar torpedoes Micheal Martin’s fever dreams of a grand coalition by saying that Fine Gael is headed for opposition
p0549,the_liberal,pre,irish-news,"RTE to cut 200 jobs, introduce pay cuts and pay freeze in an effort to stop losses"
p0550,the_liberal,pre,irish-news,Donegal Gardai’s controversial Covid “RAT LINE” has been cancelled after 60% of calls were found not to be breaches of covid laws
p0551,the_liberal,pre,irish-news,"Road carnage continues, after woman in her 50s dies in crash in Co. Kildare"
p0552,the_liberal,pre,irish-news,"“He was a kind gentleman” – Tributes pour in for David Amess MP, who was a practicing Catholic, after he was stabbed to death in his constituency"
p0553,the_liberal,pre,irish-news,Fuel allowance payment will be issued to households from today
p0554,the_liberal,pre,world-news,"Largest rail strike in three decades in the UK continues in the UK tomorrow, as last-ditch negotiations fail again"
p0555,the_liberal,pre,irish-news,Electric vehicles to be fitted with noise emitting devices from today onwards
p0556,the_liberal,pre,irish-news,Covid-19: Multiple reports emerging nationwide of people pointing and doing the Nelson laugh at those losing their precious Covid pass privilege today
p0557,the_liberal,pre,irish-news,Government trio to meet today to decide whether or not the Irish public get locked down again for another 6 weeks
p0558,the_liberal,pre,irish-news,Outrage in Sweden as 12-yr-old girl gets shot dead during gang war
p0559,the_liberal,pre,irish-news,Hero alert: Two young girls rescued after being swept out to sea on an airbed
p0560,the_liberal,pre,world-news,Miami tower block collapse: Engineers demolish the remains of the Champlain Tower South block
p0561,the_liberal,pre,world-news,"London terror alert: Explosive devices were likely sent from Ireland, authorities say"
p0562,the_liberal,pre,world-news,?BREAKING: US President Joe Biden has tested positive for Covid-19 again even though he is full vaxxed
p0563,the_liberal,pre,irish-news,BREAKING: Man arrested after trying to set a garda on fire
p0564,the_liberal,pre,irish-news,"?BREAKING: NHPET ‘concerned’ as Department of Health confirms 1,015 new Covid-19 cases"
p0565,the_liberal,pre,irish-news,"Met Eireann says that weather will remain summer-like for the next 48h, but things will take a turn for the worse by Friday"
p0566,the_liberal,pre,world-news,Covid-19: Camp Bestival will go ahead this year
p0567,the_liberal,pre,irish-news,"10,000 of our own homeless yet Government to house another 230 Syrian migrants in Tipperary"
p0568,the_liberal,pre,politics,Taoiseach says Bailey case did cause reputational damage to the Fine Gael party
p0569,the_liberal,pre,irish-news,One rule for them – RTE’s hair and makeup team are back working
p0570,the_liberal,pre,world-news,US orders Nvidia and AMD to stop selling technology to China immediately
p0571,the_liberal,pre,irish-news,Finally a bit of sanity returns to Spain as unvaccinated can now enter the country for holidays
p0572,the_liberal,pre,irish-news,Garda investigation underway after a woman is allegedly sexually assaulted in Dublin
p0573,the_liberal,pre,world-news,Migrant desperately trying to enter Europe is found hiding in cramped car glove box
p0574,the_liberal,pre,world-news,Teaser trailer of upcoming Bond movie ‘No time to die’ released
p0575,the_liberal,pre,irish-news,Cervical cancer patients will be able to get new drug Pembro following landmark decision
p0576,the_liberal,pre,world-news,"Covid-19: Travel restrictions re-introduced in Beijing, as coronavirus begins to spread again"
p0577,the_liberal,pre,irish-news,Covid-19: Dublin marathon canceled due to the ongoing coronavirus pandemic
p0578,the_liberal,pre,irish-news,Gardai seize equipment as part of an operation targeting illegal TV set top boxes
p0579,the_liberal,pre,irish-news,Ashling Murphy murder: Accused scheduled to make second appearance in court
p0580,the_liberal,pre,irish-news,"Covid-19: Irish health authorities report just over 21,300 new coronavirus infections over the past 24h"
p0581,the_liberal,pre,world-news,"Covid-19: UK reports record-busting daily coronavirus cases, with just over 93,000 new infections confirmed in the last 24h"
p0582,the_liberal,pre,irish-news,"Up, up and away! Ryanair launches huge sale but you must book by TONIGHT!"
p0583,the_liberal,pre,irish-news,"Leader of Irish Freedom Party spearheads campaign in EU Parliament to oppose MEPs, staff and visitors having to produce a Covid-19 vaccination certificate"
p0584,the_liberal,pre,irish-news,Chicken run! KFC re-opens 16 Irish outlets for delivery and drive-thru
p0585,the_liberal,pre,irish-news,Dr Glynn says Ireland is in a precarious position as R number is between 1.2 and 1.8
p0586,the_liberal,pre,irish-news,Covid-19: Fans might be allowed to attend sporting events ‘in small numbers’ from July
p0587,the_liberal,pre,world-news,Pfizer and BioNtech to start testing Covid-19 vaccine in pregnant women
p0588,the_liberal,pre,irish-news,BREAKING: Dublin fire brigade suspend fireman for ‘traveller joke video’
p0589,the_liberal,pre,irish-news,Jon Venables to launch fresh appeal for freedom from jail within weeks
p0590,the_liberal,pre,irish-news,Is your kid getting it? Children as young as 5 can now register to get the vaccine
p0591,the_liberal,pre,irish-news,Jeremy Clarkson goes viral on social media for telling Greta Thunberg to shut up you spoilt brat and go back to school
p0592,the_liberal,pre,irish-news,BREAKING: President Trump declares he is FIGHTING and is taking the election “shenanigans” to court
p0593,the_liberal,pre,irish-news,Government considering a once-off double Child Benefit payment to help with rising cost of living
p0594,the_liberal,pre,world-news,"Covid-19: UK adds Malta, the Balearic islands, and parts of the Caribbean to its ‘green’ travel list"
p0595,the_liberal,pre,irish-news,Recall notice: SuperValu issues urgent recall notice for a salad product due to undeclared ingredients
p0596,the_liberal,pre,irish-news,"Coronavirus: Disaster in Italy as death toll surpasses China’s, where the Covid-19 virus was first detected"
p0597,the_liberal,pre,irish-news,"Groups of young thugs run riot around Irish shopping center, forcing early closure"
p0598,the_liberal,pre,irish-news,Taniste Leo Varadkar remains silent on violent BLM rampage in his own constituency on New Year’s Eve
p0599,the_liberal,pre,world-news,Large crowd storms US embassy in Baghdad in protest over recent airstrikes that killed 25 fighters from an Iran-backed militia group
